"";"amostra";"spp";"data";"site";"latitude";"longitude";"tamanho_petala";"largura_petala";"tamanho_sepala";"largura_sepala"
"81";"A15";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"5.8";"4";"1.2";"0.2"
"82";"A25";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"4.8";"3.4";"1.9";"0.2"
"83";"A26";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"5";"3";"1.6";"0.2"
"84";"A3";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"4.7";"3.2";"1.3";"0.2"
"85";"A32";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"5.4";"3.4";"1.5";"0.4"
"86";"A41";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"5";"3.5";"1.3";"0.3"
"87";"A47";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"5.1";"3.8";"1.6";"0.2"
"137";"A12 ";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"1.6";"0.2";"4.8";"3.4"
"138";"A17";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"1.3";"0.4";"5.4";"3.9"
"139";"A20";"Iris_setosa";1930-02-13;"Site2";"48540502";"-64766512";"1.5";"0.3";"5.1";"3.8"
"140";"A44";"Iris_setosa";1930-02-14;"Site2";"48540502";"-64766512";"1.6";"0.6";"5";"3.5"
"141";"A50";"Iris_setosa";1930-02-15;"Site2";"48540502";"-64766512";"1.4";"0.2";"5";"3.3"
"142";"A19";"Iris_setosa";1929-12-01;"Site3";"48329837";"-65512333";"1.7";"0.3";"5.7";"3.8"
"143";"A22";"Iris_setosa";1929-12-02;"Site3";"48329837";"-65512333";"1.5";"0.4";"5.1";"3.7"
"144";"A34";"Iris_setosa";1929-12-03;"Site3";"48329837";"-65512333";"1.4";"0.2";"5.5";"4.2"
"145";"A1";"Iris_setosa";1929-12-04;"Site3";"48329837";"-65512333";"1.4";"0.2";"5.1";"3.5"
"146";"A7";"Iris_setosa";1929-12-05;"Site3";"48329837";"-65512333";"1.4";"0.3";"4.6";"3.4"
"1";"A21";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"1.7";"0.2";"5.4";"3.4"
"2";"A24";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"1.7";"0.5";"5.1";"3.3"
"3";"A33";"Iris_setosa";1929-12-01;"Site1";"48935966";"-64840984";"1.5";"0.1";"5.2";"4.1"
